"시점","자치구별(1)",자치구별(2),행정구역(A),행정구역(A),청소구역(B),청소구역(B),수거지인구율(B/A) (%),배출량(C) (톤/일),처리량(D) (톤/일),수거율(D/C) (%),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일),처리방법 (톤/일)
"시점","자치구별(1)",자치구별(2),면적 (㎢),인구 (명),면적 (㎢),인구 (명),소계,소계,소계,소계,소계,매립,소각,재활용,기타
"2020","합계",소계,605.23,9911088,605.23,9911088,100.0,51886.7,51886.7,100.0,51886.7,2212.5,2485.5,46423.7,764.8
"2020","합계",종로구,23.91,158996,23.91,158996,100.0,935.0,935.0,100.0,935.0,31.4,83.5,818.3,1.8
"2020","합계",중구,9.96,134635,9.96,134635,100.0,1543.5,1543.5,100.0,1543.5,34.6,130.7,1378.3,-
"2020","합계",용산구,21.87,244645,21.87,244645,100.0,1044.4,1044.4,100.0,1044.4,38.9,78.6,926.7,0.3
"2020","합계",성동구,16.86,300505,16.86,300505,100.0,2324.9,2324.9,100.0,2324.9,272.2,74.3,1844.6,133.7
"2020","합계",광진구,17.06,360109,17.06,360109,100.0,1578.6,1578.6,100.0,1578.6,29.7,83.0,1465.6,0.3
"2020","합계",동대문구,14.22,357014,14.22,357014,100.0,3226.9,3226.9,100.0,3226.9,24.3,86.7,3115.7,0.1
"2020","합계",중랑구,18.50,399562,18.50,399562,100.0,1201.2,1201.2,100.0,1201.2,25.3,93.0,1082.7,0.2
"2020","합계",성북구,24.58,447056,24.58,447056,100.0,1186.4,1186.4,100.0,1186.4,17.0,101.3,1067.7,0.3
"2020","합계",강북구,23.60,311569,23.60,311569,100.0,834.5,834.5,100.0,834.5,9.8,88.8,734.2,1.8
"2020","합계",도봉구,20.65,327361,20.65,327361,100.0,1286.8,1286.8,100.0,1286.8,41.2,94.7,1134.0,17.0
"2020","합계",노원구,35.44,527032,35.44,527032,100.0,1092.0,1092.0,100.0,1092.0,80.1,107.5,902.2,2.2
"2020","합계",은평구,29.71,484043,29.71,484043,100.0,2148.1,2148.1,100.0,2148.1,113.9,52.9,1981.2,0.2
"2020","합계",서대문구,17.63,322952,17.63,322952,100.0,766.7,766.7,100.0,766.7,37.1,78.9,642.4,8.3
"2020","합계",마포구,23.85,381858,23.85,381858,100.0,1621.6,1621.6,100.0,1621.6,41.4,116.1,1464.1,-
"2020","합계",양천구,17.41,457781,17.41,457781,100.0,1235.3,1235.3,100.0,1235.3,67.9,90.5,1076.9,-
"2020","합계",강서구,41.44,585901,41.44,585901,100.0,4916.0,4916.0,100.0,4916.0,629.7,235.2,3634.9,416.0
"2020","합계",구로구,20.12,432488,20.12,432488,100.0,1269.9,1269.9,100.0,1269.9,78.7,112.0,1078.8,0.3
"2020","합계",금천구,13.02,247835,13.02,247835,100.0,3787.9,3787.9,100.0,3787.9,134.8,16.4,3632.9,3.9
"2020","합계",영등포구,24.55,407367,24.55,407367,100.0,2140.4,2140.4,100.0,2140.4,34.5,122.7,1978.8,4.4
"2020","합계",동작구,16.35,401572,16.35,401572,100.0,1279.9,1279.9,100.0,1279.9,25.7,67.2,1184.6,2.3
"2020","합계",관악구,29.57,509803,29.57,509803,100.0,1624.2,1624.2,100.0,1624.2,90.3,30.5,1503.0,0.1
"2020","합계",서초구,46.98,429025,46.98,429025,100.0,2348.2,2348.2,100.0,2348.2,82.6,128.4,2135.8,1.4
"2020","합계",강남구,39.50,544055,39.50,544055,100.0,5506.3,5506.3,100.0,5506.3,62.5,210.2,5092.2,141.2
"2020","합계",송파구,33.87,673926,33.87,673926,100.0,4236.0,4236.0,100.0,4236.0,158.8,107.1,3942.6,27.6
"2020","합계",강동구,24.59,463998,24.59,463998,100.0,2751.9,2751.9,100.0,2751.9,50.1,95.0,2605.5,1.3
"2021","합계",소계,605.24,9736027,605.24,9736027,100.0,48036.0,48036.0,100.0,48036.0,2313.3,2455.2,41615.2,1652.2
"2021","합계",종로구,23.91,153789,23.91,153789,100.0,1149.1,1149.1,100.0,1149.1,23.0,83.5,1040.9,1.7
"2021","합계",중구,9.96,131787,9.96,131787,100.0,1154.0,1154.0,100.0,1154.0,29.2,134.8,989.3,0.6
"2021","합계",용산구,21.87,237285,21.87,237285,100.0,1557.1,1557.1,100.0,1557.1,28.7,82.5,1444.9,1.0
"2021","합계",성동구,16.86,292672,16.86,292672,100.0,3641.8,3641.8,100.0,3641.8,273.4,63.3,3205.0,100.1
"2021","합계",광진구,17.06,352627,17.06,352627,100.0,1209.2,1209.2,100.0,1209.2,30.8,50.1,1128.1,0.2
"2021","합계",동대문구,14.22,352006,14.22,352006,100.0,1829.1,1829.1,100.0,1829.1,29.1,86.8,1712.9,0.3
"2021","합계",중랑구,18.50,391885,18.50,391885,100.0,1350.3,1350.3,100.0,1350.3,26.7,92.1,1231.3,0.1
"2021","합계",성북구,24.58,440142,24.58,440142,100.0,1681.8,1681.8,100.0,1681.8,11.0,85.3,1583.5,1.9
"2021","합계",강북구,23.60,302563,23.60,302563,100.0,988.5,988.5,100.0,988.5,6.9,70.1,903.4,8.2
"2021","합계",도봉구,20.65,319373,20.65,319373,100.0,907.5,907.5,100.0,907.5,10.1,96.8,800.2,0.4
"2021","합계",노원구,35.44,514946,35.44,514946,100.0,1076.4,1076.4,100.0,1076.4,81.3,100.3,893.3,1.5
