"자치구별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023
"자치구별(1)",합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,합계출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율,모(母)의 연령별 출산율
"자치구별(1)",소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세,소계,15-19세,20-24세,25-29세,30-34세,35-39세,40-44세,45-49세
"서울특별시",0.642,0.3,2.5,14.3,60.3,42.4,7.7,0.2,0.626,0.2,1.8,12.1,57.6,43.9,8.3,0.2,0.593,0.2,1.4,9.9,53.5,43.4,8.7,0.2,0.552,0.2,1.3,8.5,47.3,43.1,8.7,0.2
"종로구",0.522,-,2.1,11.2,45.7,37.8,6.0,0.2,0.531,0.0,1.1,9.4,43.3,40.8,10.4,0.2,0.477,0.0,1.1,6.9,34.2,42.5,9.4,0.2,0.406,0.0,1.0,5.5,33.0,32.3,8.0,0.4
"중구",0.688,0.5,1.7,13.7,62.0,51.8,8.3,-,0.634,0.0,1.0,10.5,55.8,49.4,10.2,0.2,0.606,0.0,1.8,7.8,48.1,50.0,12.4,0.3,0.534,0.0,1.6,9.2,42.2,41.4,12.2,0.0
"용산구",0.634,-,1.8,13.8,56.3,43.3,11.5,0.1,0.664,0.5,1.8,10.8,59.7,47.7,11.1,0.3,0.596,0.0,1.4,8.5,49.0,47.8,11.7,0.2,0.547,0.3,1.4,7.0,43.8,46.5,9.8,0.5
"성동구",0.783,-,1.7,14.7,77.1,54.6,7.7,0.4,0.764,0.0,1.3,11.2,74.5,55.6,9.7,0.2,0.723,0.2,1.3,10.0,65.8,55.5,12.1,0.1,0.639,0.4,0.7,9.0,56.6,50.7,10.6,0.2
"광진구",0.527,0.6,1.8,11.7,47.9,35.3,7.1,-,0.525,0.3,1.4,9.6,46.1,38.7,7.7,0.3,0.461,0.0,1.0,7.2,38.3,36.0,8.4,0.2,0.449,0.0,0.9,6.1,33.8,39.4,8.6,0.3
"동대문구",0.699,0.6,2.4,16.3,63.3,47.2,8.5,0.3,0.660,0.0,1.4,14.4,61.7,44.0,8.5,0.1,0.620,0.0,1.4,8.8,58.5,43.7,9.5,0.3,0.566,0.2,1.2,8.4,48.7,44.2,9.0,0.2
