자치구,PM10_avg,PM25_avg,평균_녹지면적,수거율,재활용률,PM10_rank,PM25_rank,녹지_rank,수거율_rank,재활용률_rank,종합순위,자치구_전체면적,녹지비율
종로구,6.75855,12.175616666666665,53879.0,100.0,87.8852262188045,20.0,13.0,17.0,13.0,15.0,15.6,23910000.0,0.22534086156419908
중구,6.842391666666667,11.82934166666667,31696.0,100.0,86.89260288602749,21.0,8.0,21.0,13.0,18.0,16.2,9960000.0,0.31823293172690764
용산구,6.591450000000001,12.323858333333334,66820.75,100.0,93.22435239179993,14.0,16.0,15.0,13.0,3.0,12.2,21870000.0,0.30553612254229534
성동구,6.091466666666666,12.225708333333332,35858.75,100.0,87.78596304239126,3.0,14.0,19.0,13.0,16.0,13.0,16850000.0,0.21281157270029671
광진구,6.2575666666666665,11.597633333333333,20820.75,100.0,90.43726261499796,5.0,4.0,24.0,13.0,9.0,11.0,17050000.0,0.12211583577712609
동대문구,6.675566666666666,12.164691666666664,67636.5,100.0,92.10433094859293,17.0,11.0,14.0,13.0,4.0,11.8,14220000.0,0.47564345991561185
중랑구,6.4250500000000015,11.809533333333333,128805.5,100.0,87.07048645534778,9.0,7.0,11.0,13.0,17.0,11.4,18500000.0,0.6962459459459459
성북구,6.258558333333333,13.337109090909093,151358.25,100.0,91.08143000952174,6.0,25.0,8.0,13.0,7.0,11.8,24570000.0,0.6160286935286936
강북구,6.256724999999999,12.155091666666666,21328.0,100.0,89.02043897746128,4.0,10.0,23.0,13.0,11.0,12.2,23600000.0,0.0903728813559322
도봉구,6.090375000000001,11.584858333333335,27849.25,100.0,86.24760518619362,2.0,3.0,22.0,13.0,19.0,11.8,20710000.0,0.1344724770642202
노원구,6.758533333333332,12.431033333333332,196964.75,100.0,85.26445395254831,19.0,18.0,5.0,13.0,23.0,15.6,35440000.0,0.5557696106094808
은평구,6.590183333333333,12.16626666666667,121088.5,100.0,89.00163047078573,13.0,12.0,12.0,13.0,12.0,12.4,29700000.0,0.40770538720538724
서대문구,6.090266666666667,11.174225000000002,130983.25,100.0,85.52540283470654,1.0,1.0,9.0,13.0,22.0,9.2,17630000.0,0.7429566080544526
마포구,6.592191666666667,11.414591666666666,158616.5,100.0,86.19909428565039,16.0,2.0,7.0,13.0,20.0,11.6,23870000.0,0.6645014662756599
양천구,7.008983333333333,13.006475,170691.75,100.0,82.02781302081245,25.0,23.0,6.0,13.0,24.0,18.2,17400000.0,0.9809870689655171
강서구,6.592133333333334,13.249666666666668,327880.0,100.0,68.37706147476004,15.0,24.0,3.0,13.0,25.0,16.0,41440000.0,0.7912162162162163
구로구,6.341241666666666,12.799741666666664,101953.75,100.0,86.10090823246121,7.0,20.0,13.0,13.0,21.0,14.8,20120000.0,0.50672837972167
금천구,6.925533333333333,11.904841666666664,42414.0,100.0,91.66994182876948,23.0,9.0,18.0,13.0,6.0,13.8,13010000.0,0.326010760953113
영등포구,6.675933333333333,11.754875,56090.0,100.0,91.96157755017735,18.0,6.0,16.0,13.0,5.0,11.6,24560000.0,0.22837947882736157
동작구,7.008541666666666,12.976233333333335,32884.5,100.0,90.70637962226294,24.0,22.0,20.0,13.0,8.0,17.4,16350000.000000002,0.20112844036697247
관악구,6.342808333333333,12.4251,7202.75,100.0,90.02640608587643,8.0,17.0,25.0,13.0,10.0,14.6,29570000.0,0.02435830233344606
서초구,6.425508333333333,12.810324999999999,869564.25,100.0,93.55275641706965,10.0,21.0,1.0,13.0,2.0,9.4,47020000.0,1.8493497447894514
강남구,6.508900000000001,11.652016666666668,419436.25,100.0,88.44136490159498,11.0,5.0,2.0,13.0,13.0,8.8,39550000.0,1.0605214917825538
송파구,6.509474999999999,12.255766666666666,296147.25,100.0,88.00739266445453,12.0,15.0,4.0,13.0,14.0,11.6,33890000.0,0.8738484803776925
강동구,6.924824999999999,12.568275,129243.0,100.0,94.03602686693552,22.0,19.0,10.0,13.0,1.0,13.0,24580000.0,0.5258055329536209
